Month,Year,Rainfall,WPI
4,2012,47.5,96.3
5,2012,31.7,96
6,2012,117.8,96.6
7,2012,250.2,103.6
8,2012,262.4,108.7
9,2012,193.5,108.4
10,2012,58.7,112.2
11,2012,30.7,113.5
12,2012,11.7,115.4
1,2013,11.3,116.9
2,2013,40.1,117.1
3,2013,15.7,118.3
4,2013,30.4,120
5,2013,57.8,118.9
6,2013,219.8,119
7,2013,310,118
8,2013,254.7,113.9
9,2013,152.7,117.5
10,2013,129.4,122.9
11,2013,14,126.4
12,2013,6.7,126.7
1,2014,19.2,126.5
2,2014,27.4,129.3
3,2014,36.1,132.6
4,2014,22.2,135.5
5,2014,72.9,137.8
6,2014,95.4,136.8
7,2014,261.2,142.5
8,2014,237.5,142.2
9,2014,188,141.2
10,2014,60.2,144.6
11,2014,14.4,148.5
12,2014,10.7,153.9
1,2015,17.4,159.1
2,2015,21,155.7
3,2015,62,150.7
4,2015,69.4,151.4
5,2015,53.8,155.7
6,2015,192.8,170.2
7,2015,242.4,165.3
8,2015,205.2,164.8
9,2015,131.8,167.5
10,2015,42.9,173.5
11,2015,39.4,178.1
12,2015,15,168.8
1,2016,19.3,167.1
2,2016,22.8,161
3,2016,27.6,158.7
4,2016,37.4,162.2
5,2016,62.6,161.9
6,2016,168.3,155.4
7,2016,289.1,150.4
8,2016,256.3,143.5
9,2016,171.9,134.7
10,2016,76.1,131.6
11,2016,29.7,127.4
12,2016,14.9,122.7
1,2017,19,119.7
2,2017,22.6,116.9
3,2017,27.8,115.4
4,2017,37.9,120.8
5,2017,62.4,120.1
6,2017,168.1,116.8
7,2017,289.3,113
8,2017,256.2,112.6
9,2017,171.5,112.9
10,2017,76.3,111.5
11,2017,29.9,109.8
12,2017,15,110.7
1,2018,19.2,112.2
2,2018,20.1,113
3,2018,27.1,114.1
4,2018,40.2,111.5
5,2018,62.7,113
6,2018,165,112.4
7,2018,286.3,115
8,2018,254.3,118.9
9,2018,171.9,119.8
10,2018,77.2,118.1
11,2018,28.1,121.6
12,2018,14.1,123
