Month,Year,Rainfall,WPI
4,2012,47.5,116.4
5,2012,31.7,120.2
6,2012,117.8,124.4
7,2012,250.2,114
8,2012,262.4,125.2
9,2012,193.5,124.7
10,2012,58.7,119
11,2012,30.7,114.7
12,2012,11.7,112.5
1,2013,11.3,116.1
2,2013,40.1,116.1
3,2013,15.7,117.9
4,2013,30.4,117.9
5,2013,57.8,119.6
6,2013,219.8,117.4
7,2013,310,117.1
8,2013,254.7,116.5
9,2013,152.7,114.6
10,2013,129.4,115.5
11,2013,14,116.1
12,2013,6.7,116.6
1,2014,19.2,114.6
2,2014,27.4,112.6
3,2014,36.1,112.6
4,2014,22.2,114.3
5,2014,72.9,116.1
6,2014,95.4,119.2
7,2014,261.2,120.9
8,2014,237.5,123.8
9,2014,188,128.3
10,2014,60.2,128.3
11,2014,14.4,122.7
12,2014,10.7,125.7
1,2015,17.4,138.8
2,2015,21,143.3
3,2015,62,146.7
4,2015,69.4,165.2
5,2015,53.8,154.5
6,2015,192.8,192.6
7,2015,242.4,220.3
8,2015,205.2,227.6
9,2015,131.8,234
10,2015,42.9,244.2
11,2015,39.4,260.4
12,2015,15,251.3
1,2016,19.3,238.3
2,2016,22.8,243.5
3,2016,27.6,241.2
4,2016,37.4,221.2
5,2016,62.6,215.9
6,2016,168.3,210.6
7,2016,289.1,212.8
8,2016,256.3,208
9,2016,171.9,207.6
10,2016,76.1,207.6
11,2016,29.7,207.6
12,2016,14.9,199.7
1,2017,19,198
2,2017,22.6,200.4
3,2017,27.8,202.3
4,2017,37.9,201.6
5,2017,62.4,204.7
6,2017,168.1,206.7
7,2017,289.3,207.2
8,2017,256.2,205.4
9,2017,171.5,204.8
10,2017,76.3,205.9
11,2017,29.9,205.5
12,2017,15,203
1,2018,19.2,200.8
2,2018,20.1,190.2
3,2018,27.1,179.4
4,2018,40.2,169.5
5,2018,62.7,153.7
6,2018,165,141.7
7,2018,286.3,132.8
8,2018,254.3,130.9
9,2018,171.9,139.7
10,2018,77.2,140.8
11,2018,28.1,141.1
12,2018,14.1,141.1
