Month,Year,Rainfall,WPI
4,2012,47.5,117.9
5,2012,31.7,118.4
6,2012,117.8,119.3
7,2012,250.2,129.5
8,2012,262.4,134.6
9,2012,193.5,136.7
10,2012,58.7,141
11,2012,30.7,142.2
12,2012,11.7,141.2
1,2013,11.3,138
2,2013,40.1,132.6
3,2013,15.7,121.6
4,2013,30.4,117.7
5,2013,57.8,117.4
6,2013,219.8,117.4
7,2013,310,116.5
8,2013,254.7,116.9
9,2013,152.7,119
10,2013,129.4,120.1
11,2013,14,122.9
12,2013,6.7,122.7
1,2014,19.2,120.4
2,2014,27.4,119.3
3,2014,36.1,118.5
4,2014,22.2,116.9
5,2014,72.9,115.9
6,2014,95.4,117.7
7,2014,261.2,121.1
8,2014,237.5,121
9,2014,188,122
10,2014,60.2,122.3
11,2014,14.4,124.3
12,2014,10.7,129.1
1,2015,17.4,127.1
2,2015,21,128
3,2015,62,126.7
4,2015,69.4,127.5
5,2015,53.8,138.6
6,2015,192.8,143
7,2015,242.4,143.8
8,2015,205.2,145.1
9,2015,131.8,148
10,2015,42.9,158.8
11,2015,39.4,163.2
12,2015,15,161.3
1,2016,19.3,154.3
2,2016,22.8,135.3
3,2016,27.6,132.3
4,2016,37.4,144.2
5,2016,62.6,147.4
6,2016,168.3,150.8
7,2016,289.1,155
8,2016,256.3,155.9
9,2016,171.9,155.5
10,2016,76.1,152.8
11,2016,29.7,153.5
12,2016,14.9,151.2
1,2017,19,147.7
2,2017,22.6,143.4
3,2017,27.8,135.3
4,2017,37.9,130.6
5,2017,62.4,130.7
6,2017,168.1,129.9
7,2017,289.3,131
8,2017,256.2,133.3
9,2017,171.5,134.6
10,2017,76.3,134.2
11,2017,29.9,135.6
12,2017,15,138.2
1,2018,19.2,137.6
2,2018,20.1,136.8
3,2018,27.1,136.1
4,2018,40.2,136.8
5,2018,62.7,136.9
6,2018,165,137.4
7,2018,286.3,140.8
8,2018,254.3,143.8
9,2018,171.9,145.6
10,2018,77.2,145.8
11,2018,28.1,146.6
12,2018,14.1,145.7
