Month,Year,Rainfall,WPI
4,2012,47.5,117.1
5,2012,31.7,118
6,2012,117.8,111.2
7,2012,250.2,113.2
8,2012,262.4,113.8
9,2012,193.5,111.8
10,2012,58.7,110.5
11,2012,30.7,113.9
12,2012,11.7,119
1,2013,11.3,119.4
2,2013,40.1,120.2
3,2013,15.7,119.5
4,2013,30.4,116.5
5,2013,57.8,114.7
6,2013,219.8,115.8
7,2013,310,115.8
8,2013,254.7,116.3
9,2013,152.7,118
10,2013,129.4,118.6
11,2013,14,120.1
12,2013,6.7,123.3
1,2014,19.2,123.9
2,2014,27.4,123.5
3,2014,36.1,124.1
4,2014,22.2,119.2
5,2014,72.9,120.7
6,2014,95.4,118.2
7,2014,261.2,120.1
8,2014,237.5,124.2
9,2014,188,127.1
10,2014,60.2,129.8
11,2014,14.4,128.4
12,2014,10.7,131
1,2015,17.4,135.4
2,2015,21,134.7
3,2015,62,132.6
4,2015,69.4,120.1
5,2015,53.8,122.7
6,2015,192.8,120.7
7,2015,242.4,121.9
8,2015,205.2,122.6
9,2015,131.8,124.3
10,2015,42.9,128.5
11,2015,39.4,133.1
12,2015,15,136.1
1,2016,19.3,138.5
2,2016,22.8,141.6
3,2016,27.6,139.4
4,2016,37.4,143.4
5,2016,62.6,148.7
6,2016,168.3,151.8
7,2016,289.1,154.2
8,2016,256.3,155.5
9,2016,171.9,154
10,2016,76.1,153.6
11,2016,29.7,159.5
12,2016,14.9,161.2
1,2017,19,161.6
2,2017,22.6,161.9
3,2017,27.8,156.9
4,2017,37.9,144.5
5,2017,62.4,137.7
6,2017,168.1,138.1
7,2017,289.3,139.3
8,2017,256.2,139.1
9,2017,171.5,140.3
10,2017,76.3,141.2
11,2017,29.9,140.4
12,2017,15,142.9
1,2018,19.2,141.6
2,2018,20.1,141
3,2018,27.1,140.8
4,2018,40.2,138.9
5,2018,62.7,139.8
6,2018,165,141.7
7,2018,286.3,141
8,2018,254.3,145
9,2018,171.9,146.7
10,2018,77.2,150.2
11,2018,28.1,153.5
12,2018,14.1,154.8
