Month,Year,Rainfall,WPI
4,2012,47.5,112.5
5,2012,31.7,114
6,2012,117.8,113.9
7,2012,250.2,116.7
8,2012,262.4,122.9
9,2012,193.5,122
10,2012,58.7,121.5
11,2012,30.7,121.9
12,2012,11.7,125.8
1,2013,11.3,128.7
2,2013,40.1,125.3
3,2013,15.7,121.1
4,2013,30.4,124.7
5,2013,57.8,122.2
6,2013,219.8,115.8
7,2013,310,110.3
8,2013,254.7,106.2
9,2013,152.7,107.1
10,2013,129.4,107.6
11,2013,14,104.7
12,2013,6.7,100.4
1,2014,19.2,100.7
2,2014,27.4,99.4
3,2014,36.1,99.3
4,2014,22.2,100.4
5,2014,72.9,103.9
6,2014,95.4,102.5
7,2014,261.2,103.5
8,2014,237.5,106.3
9,2014,188,109.8
10,2014,60.2,109
11,2014,14.4,106.5
12,2014,10.7,105
1,2015,17.4,110
2,2015,21,111.1
3,2015,62,115
4,2015,69.4,119.7
5,2015,53.8,127.3
6,2015,192.8,135.7
7,2015,242.4,133.1
8,2015,205.2,134.8
9,2015,131.8,136.1
10,2015,42.9,122.3
11,2015,39.4,122.4
12,2015,15,126
1,2016,19.3,123.3
2,2016,22.8,124.6
3,2016,27.6,128.9
4,2016,37.4,139.1
5,2016,62.6,143.4
6,2016,168.3,146.1
7,2016,289.1,150
8,2016,256.3,145.5
9,2016,171.9,140.3
10,2016,76.1,132.3
11,2016,29.7,126.4
12,2016,14.9,131.5
1,2017,19,134.1
2,2017,22.6,132.4
3,2017,27.8,137.7
4,2017,37.9,139.8
5,2017,62.4,136.2
6,2017,168.1,133.2
7,2017,289.3,127.6
8,2017,256.2,124.3
9,2017,171.5,118
10,2017,76.3,116.9
11,2017,29.9,117
12,2017,15,113.9
1,2018,19.2,113.4
2,2018,20.1,114.9
3,2018,27.1,114.3
4,2018,40.2,109.6
5,2018,62.7,107.5
6,2018,165,109.7
7,2018,286.3,112.4
8,2018,254.3,119.9
9,2018,171.9,118.2
10,2018,77.2,118.8
11,2018,28.1,125.3
12,2018,14.1,122.6
