Month,Year,Rainfall,WPI
4,2012,47.5,107.9
5,2012,31.7,105.5
6,2012,117.8,107.2
7,2012,250.2,111.3
8,2012,262.4,117.8
9,2012,193.5,117.3
10,2012,58.7,117.8
11,2012,30.7,117.9
12,2012,11.7,121.2
1,2013,11.3,123.4
2,2013,40.1,122.9
3,2013,15.7,121.8
4,2013,30.4,121.4
5,2013,57.8,120.6
6,2013,219.8,126.1
7,2013,310,127.6
8,2013,254.7,126.5
9,2013,152.7,128.9
10,2013,129.4,121.2
11,2013,14,122.1
12,2013,6.7,123
1,2014,19.2,120.1
2,2014,27.4,118.9
3,2014,36.1,121
4,2014,22.2,119.2
5,2014,72.9,118.3
6,2014,95.4,119.8
7,2014,261.2,124.6
8,2014,237.5,121.7
9,2014,188,117.4
10,2014,60.2,114.2
11,2014,14.4,113
12,2014,10.7,113.7
1,2015,17.4,118.6
2,2015,21,119.3
3,2015,62,122.4
4,2015,69.4,121.4
5,2015,53.8,118.9
6,2015,192.8,118.3
7,2015,242.4,119.9
8,2015,205.2,120.4
9,2015,131.8,121.9
10,2015,42.9,123.5
11,2015,39.4,126.6
12,2015,15,129.2
1,2016,19.3,133.8
2,2016,22.8,135.9
3,2016,27.6,135.8
4,2016,37.4,135.2
5,2016,62.6,135.2
6,2016,168.3,136.6
7,2016,289.1,142.2
8,2016,256.3,139.3
9,2016,171.9,139.8
10,2016,76.1,138.6
11,2016,29.7,137.7
12,2016,14.9,134
1,2017,19,134.6
2,2017,22.6,135.6
3,2017,27.8,135.2
4,2017,37.9,135.5
5,2017,62.4,134.2
6,2017,168.1,132.6
7,2017,289.3,129.2
8,2017,256.2,127.7
9,2017,171.5,125.1
10,2017,76.3,123.7
11,2017,29.9,119.1
12,2017,15,117.9
1,2018,19.2,116.4
2,2018,20.1,117.3
3,2018,27.1,117.3
4,2018,40.2,118
5,2018,62.7,117.6
6,2018,165,121.5
7,2018,286.3,121.6
8,2018,254.3,123.2
9,2018,171.9,125.7
10,2018,77.2,129.3
11,2018,28.1,131.9
12,2018,14.1,139.2
