Month,Year,Rainfall,WPI
4,2012,47.5,107.2
5,2012,31.7,110.3
6,2012,117.8,108.9
7,2012,250.2,115.6
8,2012,262.4,126.4
9,2012,193.5,134.1
10,2012,58.7,149.5
11,2012,30.7,161.5
12,2012,11.7,162.1
1,2013,11.3,159.7
2,2013,40.1,170.2
3,2013,15.7,173.8
4,2013,30.4,173.1
5,2013,57.8,172.9
6,2013,219.8,170.4
7,2013,310,174.2
8,2013,254.7,174.5
9,2013,152.7,169.9
10,2013,129.4,166.7
11,2013,14,167.2
12,2013,6.7,164.3
1,2014,19.2,156.6
2,2014,27.4,158.1
3,2014,36.1,162.5
4,2014,22.2,163.2
5,2014,72.9,159.2
6,2014,95.4,157.6
7,2014,261.2,159.6
8,2014,237.5,163.7
9,2014,188,163
10,2014,60.2,161.7
11,2014,14.4,154.4
12,2014,10.7,160.6
1,2015,17.4,160.6
2,2015,21,161.1
3,2015,62,166.7
4,2015,69.4,164.2
5,2015,53.8,159.5
6,2015,192.8,158.7
7,2015,242.4,156.1
8,2015,205.2,159.1
9,2015,131.8,161.5
10,2015,42.9,159.5
11,2015,39.4,157
12,2015,15,158.1
1,2016,19.3,164.3
2,2016,22.8,166.9
3,2016,27.6,167.3
4,2016,37.4,174.1
5,2016,62.6,177
6,2016,168.3,169.3
7,2016,289.1,169.3
8,2016,256.3,167.1
9,2016,171.9,167.3
10,2016,76.1,178.1
11,2016,29.7,209
12,2016,14.9,228.6
1,2017,19,242.6
2,2017,22.6,242.9
3,2017,27.8,258
4,2017,37.9,252.8
5,2017,62.4,245
6,2017,168.1,237.5
7,2017,289.3,247
8,2017,256.2,261.9
9,2017,171.5,252.5
10,2017,76.3,233.7
11,2017,29.9,217.3
12,2017,15,217.6
1,2018,19.2,207.9
2,2018,20.1,214.9
3,2018,27.1,220.8
4,2018,40.2,213.5
5,2018,62.7,211.2
6,2018,165,208.3
7,2018,286.3,206.6
8,2018,254.3,216.2
9,2018,171.9,213
10,2018,77.2,214.1
11,2018,28.1,211.4
12,2018,14.1,212.9
