Month,Year,Rainfall,WPI
4,2012,47.5,103.9
5,2012,31.7,110.9
6,2012,117.8,112.7
7,2012,250.2,116.1
8,2012,262.4,118.1
9,2012,193.5,120.3
10,2012,58.7,117.8
11,2012,30.7,114.8
12,2012,11.7,114.8
1,2013,11.3,112.8
2,2013,40.1,115.7
3,2013,15.7,115.2
4,2013,30.4,119.4
5,2013,57.8,115.9
6,2013,219.8,118.9
7,2013,310,118.9
8,2013,254.7,114.6
9,2013,152.7,112.8
10,2013,129.4,112.3
11,2013,14,112.7
12,2013,6.7,112.1
1,2014,19.2,108.2
2,2014,27.4,107.1
3,2014,36.1,112
4,2014,22.2,125.4
5,2014,72.9,124.5
6,2014,95.4,93.2
7,2014,261.2,94.8
8,2014,237.5,94.1
9,2014,188,94.3
10,2014,60.2,93
11,2014,14.4,92.3
12,2014,10.7,93.4
1,2015,17.4,93.7
2,2015,21,94.8
3,2015,62,94.5
4,2015,69.4,104.2
5,2015,53.8,110.1
6,2015,192.8,108.1
7,2015,242.4,105.8
8,2015,205.2,107.4
9,2015,131.8,105.3
10,2015,42.9,105
11,2015,39.4,105.9
12,2015,15,106.4
1,2016,19.3,109
2,2016,22.8,111.1
3,2016,27.6,110.1
4,2016,37.4,108.9
5,2016,62.6,115.5
6,2016,168.3,111.8
7,2016,289.1,111.4
8,2016,256.3,112
9,2016,171.9,112.9
10,2016,76.1,113.5
11,2016,29.7,112.3
12,2016,14.9,113.9
1,2017,19,114.1
2,2017,22.6,117
3,2017,27.8,124.8
4,2017,37.9,126
5,2017,62.4,127.8
6,2017,168.1,129.3
7,2017,289.3,134.1
8,2017,256.2,139.3
9,2017,171.5,140.2
10,2017,76.3,137.2
11,2017,29.9,135.6
12,2017,15,133.2
1,2018,19.2,138.8
2,2018,20.1,139.2
3,2018,27.1,139
4,2018,40.2,137.8
5,2018,62.7,134.6
6,2018,165,137.8
7,2018,286.3,134.8
8,2018,254.3,136
9,2018,171.9,139.3
10,2018,77.2,143.5
11,2018,28.1,150.5
12,2018,14.1,155.5
