Month,Year,Rainfall,WPI
4,2012,47.5,131
5,2012,31.7,139.6
6,2012,117.8,144.8
7,2012,250.2,182.7
8,2012,262.4,183.8
9,2012,193.5,166.2
10,2012,58.7,134.2
11,2012,30.7,140.1
12,2012,11.7,142.6
1,2013,11.3,139
2,2013,40.1,137.7
3,2013,15.7,150.9
4,2013,30.4,163
5,2013,57.8,164.4
6,2013,219.8,156.7
7,2013,310,153.5
8,2013,254.7,148
9,2013,152.7,148.1
10,2013,129.4,147
11,2013,14,160.3
12,2013,6.7,160.1
1,2014,19.2,157.8
2,2014,27.4,162
3,2014,36.1,169.5
4,2014,22.2,175.6
5,2014,72.9,188.5
6,2014,95.4,175.5
7,2014,261.2,175.9
8,2014,237.5,162.4
9,2014,188,141.8
10,2014,60.2,131.6
11,2014,14.4,135
12,2014,10.7,140.8
1,2015,17.4,144.6
2,2015,21,142.2
3,2015,62,141.3
4,2015,69.4,145.5
5,2015,53.8,166.2
6,2015,192.8,155.6
7,2015,242.4,147.1
8,2015,205.2,139.2
9,2015,131.8,139.2
10,2015,42.9,156.9
11,2015,39.4,158.3
12,2015,15,152.2
1,2016,19.3,151.3
2,2016,22.8,150.2
3,2016,27.6,151.4
4,2016,37.4,167.5
5,2016,62.6,162.4
6,2016,168.3,165.1
7,2016,289.1,158.7
8,2016,256.3,156.3
9,2016,171.9,149.3
10,2016,76.1,132.3
11,2016,29.7,126.2
12,2016,14.9,128.9
1,2017,19,127.8
2,2017,22.6,126
3,2017,27.8,124.9
4,2017,37.9,126.8
5,2017,62.4,123.4
6,2017,168.1,121.2
7,2017,289.3,121.6
8,2017,256.2,122.8
9,2017,171.5,124.8
10,2017,76.3,126
11,2017,29.9,122.2
12,2017,15,125.3
1,2018,19.2,136.6
2,2018,20.1,152.2
3,2018,27.1,156
4,2018,40.2,157.5
5,2018,62.7,155.9
6,2018,165,153.1
7,2018,286.3,150.1
8,2018,254.3,147.1
9,2018,171.9,142.9
10,2018,77.2,140.2
11,2018,28.1,141.6
12,2018,14.1,143.9
