Month,Year,Rainfall,WPI
4,2012,47.5,101.9
5,2012,31.7,101.7
6,2012,117.8,104.8
7,2012,250.2,112.8
8,2012,262.4,118.4
9,2012,193.5,113.7
10,2012,58.7,115.3
11,2012,30.7,117.4
12,2012,11.7,116
1,2013,11.3,115
2,2013,40.1,116.1
3,2013,15.7,111.1
4,2013,30.4,111.9
5,2013,57.8,111.8
6,2013,219.8,118
7,2013,310,112.3
8,2013,254.7,121.9
9,2013,152.7,117.6
10,2013,129.4,114.4
11,2013,14,112.1
12,2013,6.7,114.5
1,2014,19.2,110.4
2,2014,27.4,112.2
3,2014,36.1,114.5
4,2014,22.2,109.9
5,2014,72.9,108.8
6,2014,95.4,111.1
7,2014,261.2,106.6
8,2014,237.5,110.4
9,2014,188,108.2
10,2014,60.2,110.1
11,2014,14.4,107.3
12,2014,10.7,107.2
1,2015,17.4,108
2,2015,21,109.8
3,2015,62,106.9
4,2015,69.4,105.8
5,2015,53.8,110.2
6,2015,192.8,109.4
7,2015,242.4,109
8,2015,205.2,112.6
9,2015,131.8,116.4
10,2015,42.9,117.1
11,2015,39.4,119.1
12,2015,15,119.7
1,2016,19.3,118.5
2,2016,22.8,118.1
3,2016,27.6,118.1
4,2016,37.4,115.5
5,2016,62.6,114.3
6,2016,168.3,112.7
7,2016,289.1,112.5
8,2016,256.3,112
9,2016,171.9,113.5
10,2016,76.1,113
11,2016,29.7,110.1
12,2016,14.9,109.4
1,2017,19,110
2,2017,22.6,108.5
3,2017,27.8,106.8
4,2017,37.9,104.2
5,2017,62.4,102.6
6,2017,168.1,98.3
7,2017,289.3,96.8
8,2017,256.2,94.5
9,2017,171.5,98.4
10,2017,76.3,99.1
11,2017,29.9,99.2
12,2017,15,100.2
1,2018,19.2,99.8
2,2018,20.1,100.6
3,2018,27.1,104.4
4,2018,40.2,107.2
5,2018,62.7,98.9
6,2018,165,101.3
7,2018,286.3,104.8
8,2018,254.3,105.9
9,2018,171.9,111.4
10,2018,77.2,116.6
11,2018,28.1,117.5
12,2018,14.1,118.2
