Month,Year,Rainfall,WPI
4,2012,47.5,90.7
5,2012,31.7,90.8
6,2012,117.8,92.1
7,2012,250.2,97.9
8,2012,262.4,102.3
9,2012,193.5,102.3
10,2012,58.7,99.3
11,2012,30.7,97.5
12,2012,11.7,97.2
1,2013,11.3,96.5
2,2013,40.1,96.3
3,2013,15.7,96.5
4,2013,30.4,96.2
5,2013,57.8,96.3
6,2013,219.8,95.2
7,2013,310,96.6
8,2013,254.7,96.3
9,2013,152.7,97.1
10,2013,129.4,97.9
11,2013,14,103.1
12,2013,6.7,103.7
1,2014,19.2,105.7
2,2014,27.4,108.5
3,2014,36.1,108.3
4,2014,22.2,109.7
5,2014,72.9,115.1
6,2014,95.4,116.5
7,2014,261.2,122.3
8,2014,237.5,127
9,2014,188,128
10,2014,60.2,124.3
11,2014,14.4,124
12,2014,10.7,124.7
1,2015,17.4,131.6
2,2015,21,132.1
3,2015,62,133.7
4,2015,69.4,138.8
5,2015,53.8,149.7
6,2015,192.8,160.4
7,2015,242.4,162.8
8,2015,205.2,167.7
9,2015,131.8,171.8
10,2015,42.9,196.9
11,2015,39.4,204.7
12,2015,15,203.4
1,2016,19.3,206.1
2,2016,22.8,199.3
3,2016,27.6,198.2
4,2016,37.4,213
5,2016,62.6,231
6,2016,168.3,247.6
7,2016,289.1,243.7
8,2016,256.3,229.3
9,2016,171.9,211.6
10,2016,76.1,199
11,2016,29.7,188.4
12,2016,14.9,178.4
1,2017,19,167.6
2,2017,22.6,158.1
3,2017,27.8,151.1
4,2017,37.9,149.5
5,2017,62.4,145.7
6,2017,168.1,140.8
7,2017,289.3,134.1
8,2017,256.2,127.2
9,2017,171.5,129.1
10,2017,76.3,127.7
11,2017,29.9,123.7
12,2017,15,121
1,2018,19.2,114.8
2,2018,20.1,112.6
3,2018,27.1,112.1
4,2018,40.2,110.5
5,2018,62.7,108.4
6,2018,165,105.9
7,2018,286.3,106.9
8,2018,254.3,109.8
9,2018,171.9,107.6
10,2018,77.2,111
11,2018,28.1,118.6
12,2018,14.1,123.3
